iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,n_port,k_min,k_max,move_strategy,seed,selection_strategy,tag,X,Z
0,idID,True,0.09808638837832037,0.0028150403969999997,7,7,100,79,0.037482,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.102007, 0.06084, 0.091911, 0.086659, 0.537785, 0.010088, 0.110709]","[10, 13, 22, 25, 27, 28, 29]"
1,idID,True,0.09707595608520393,0.002824245143,7,7,100,74,0.036691,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.103149, 0.061521, 0.09294, 0.087629, 0.543806, 0.010201, 0.100754]","[10, 13, 22, 25, 27, 28, 29]"
2,idID,True,0.0946025532971699,0.0027934015639999995,6,6,100,73,0.036254,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.104212, 0.062155, 0.093898, 0.088532, 0.549411, 0.101792]","[10, 13, 22, 25, 27, 29]"
3,idID,True,0.09367777779263821,0.002788093531,6,6,100,89,0.039545,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.104864, 0.056289, 0.094485, 0.089086, 0.552847, 0.102429]","[10, 13, 22, 25, 27, 29]"
4,idID,True,0.09211040395238884,0.0027702778979999997,6,6,100,95,0.041876,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.105864, 0.056826, 0.085848, 0.089936, 0.55812, 0.103406]","[10, 13, 22, 25, 27, 29]"
5,idID,True,0.09107991455851129,0.002778402748,6,6,100,83,0.038445,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.10697, 0.05742, 0.086745, 0.090876, 0.563952, 0.094038]","[10, 13, 22, 25, 27, 29]"
6,idID,True,0.08965174133306263,0.002785814936,6,6,100,87,0.038589,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.097314, 0.058041, 0.087683, 0.091859, 0.570049, 0.095055]","[10, 13, 22, 25, 27, 29]"
7,idID,True,0.08813954562719102,0.0027692676599999997,6,6,100,84,0.038291,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.098175, 0.058554, 0.079613, 0.092671, 0.575091, 0.095896]","[10, 13, 22, 25, 27, 29]"
8,idID,True,0.0700986360932559,0.003731969654,6,6,100,82,0.038515,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.051473, 0.030699, 0.041741, 0.524293, 0.301516, 0.050278]","[10, 13, 22, 25, 27, 29]"
9,idID,True,0.069178237275232,0.0037404508530000003,6,6,100,100,0.038184,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.046565, 0.030858, 0.041957, 0.527006, 0.303076, 0.050538]","[10, 13, 22, 25, 27, 29]"
10,idID,True,0.06833008617025224,0.003748153474,6,6,100,100,0.038096,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.042105, 0.031002, 0.042153, 0.529471, 0.304494, 0.050774]","[10, 13, 22, 25, 27, 29]"
11,idID,True,0.06748799533649676,0.003757114584,6,6,100,100,0.038779,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.04232, 0.03116, 0.042368, 0.532174, 0.306048, 0.04593]","[10, 13, 22, 25, 27, 29]"
12,idID,True,0.06670184218709986,0.0037641870370000003,6,6,100,100,0.03776,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.03825, 0.031292, 0.042548, 0.534436, 0.307349, 0.046125]","[10, 13, 22, 25, 27, 29]"
13,idID,True,0.06616305719789667,0.0037645745880000004,6,6,100,100,0.037815,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.03837, 0.028251, 0.042682, 0.536114, 0.308314, 0.04627]","[10, 13, 22, 25, 27, 29]"
14,idID,True,0.06333626607528918,0.003782736631,6,6,100,100,0.040801,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.039083, 0.010186, 0.043475, 0.54608, 0.314045, 0.04713]","[10, 11, 22, 25, 27, 29]"
15,idID,True,0.06093128730760587,0.003768131358,5,5,100,75,0.034838,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.039485, 0.043922, 0.5517, 0.317277, 0.047615]","[10, 22, 25, 27, 29]"
16,idID,True,0.05841668616003044,0.004433564171000001,5,5,100,100,0.037511,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.057, 0.014436, 0.063405, 0.796423, 0.068736]","[10, 12, 22, 25, 29]"
17,idID,True,0.042917582808487995,0.004620932475000001,5,5,100,83,0.03532,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.060557, 0.015337, 0.010624, 0.067362, 0.846121]","[10, 12, 18, 22, 25]"
18,idID,True,0.04088231880105311,0.004613700847000001,4,4,100,71,0.034293,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.061207, 0.015502, 0.068085, 0.855206]","[10, 12, 22, 25]"
19,idID,True,0.026768234359283043,0.004612633004,4,4,100,81,0.035334,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.064981, 0.016458, 0.010617, 0.907944]","[10, 12, 19, 25]"
20,idID,True,0.02626539536722597,0.00458829255,4,4,100,70,0.034188,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.065021, 0.016468, 0.908505, 0.010006]","[10, 12, 25, 30]"
21,idID,True,0.010908399235259795,0.004739896989,4,4,100,73,0.034393,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.017427, 0.010582, 0.961402, 0.010589]","[12, 24, 25, 30]"
22,idID,True,0.0074309615733703,0.0047618169290000005,3,3,100,61,0.033383,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.017613, 0.971684, 0.010702]","[12, 25, 30]"
23,idID,True,0.004635790874500815,0.004787587584,2,2,100,68,0.033738,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.017804, 0.982196]","[12, 25]"
24,idID,True,0.0031538305569786228,0.004790198038000001,2,2,100,100,0.03685,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.010079, 0.989921]","[3, 25]"
25,idID,True,0.0029015415945869436,0.004781488849,2,2,100,65,0.03386,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.010001, 0.989999]","[13, 25]"
26,idID,True,0.0027361224000000003,0.004772060000000001,2,2,100,69,0.03414,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.01, 0.99]","[20, 25]"
27,idID,True,0.0024604371000000002,0.00474789,2,2,100,66,0.034062,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.01, 0.99]","[16, 25]"
28,idID,True,0.0023854842000000003,0.00479801,2,2,100,53,0.033118,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.01, 0.99]","[18, 25]"
29,idID,False,0.0023854842000000003,0.00479801,2,2,100,67,0.037173,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.01, 0.99]","[18, 25]"
30,idID,False,0.0023854842000000003,0.00479801,2,2,100,70,0.038448,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.01, 0.99]","[18, 25]"
31,idID,False,0.0023854842000000003,0.00479801,2,2,100,59,0.033157,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.01, 0.99]","[18, 25]"
32,idID,False,0.0023854842000000003,0.00479801,2,2,100,66,0.034403,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.01, 0.99]","[18, 25]"
33,idID,True,0.0017269955999999998,0.004853720000000001,2,2,100,71,0.03529,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.01, 0.99]","[4, 25]"
34,idID,False,0.0017269955999999998,0.004853720000000001,2,2,100,69,0.034056,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.01, 0.99]","[4, 25]"
35,idID,False,0.0017269955999999998,0.004853720000000001,2,2,100,64,0.033969,1000,100,0.1,0.0025,1,2,15,idID,0,random,ccef,"[0.01, 0.99]","[4, 25]"
